title,degree,school,location,price,duration,selected
Data Science and Analytics with Emphasis in Strategic Communications and Data Journalism,M.Sc.,University of Missouri - Columbia,"Columbia, Missouri, United States","19,873 EUR / year",1 year,
Data Science,M.Sc.,University of Massachusetts Dartmouth,"New York City, New York, United States","18,132 EUR / year",1 year,
Business Analytics,M.Sc.,Montclair State University,"Montclair, New Jersey, United States",573 EUR / credit,2 years,
Data Analytics and Visualization,M.Sc.,Yeshiva University,"New York City, New York, United States",909 EUR / credit,1 year,
Data and Information Management,M.Sc.,Radford University,"Radford, Virginia, United States","14,256 EUR / year",1 year,
Data Science,M.Sc.,American University Washington DC,"Washington, D. C., Washington, D.C., United States","18,230 EUR / year",2 years,
Data Science,M.Sc.,The City University of New York,"New York City, New York, United States",699 EUR / credit,1 year,
Data Science,Full-time,Illinois Institute of Technology,"Chicago, Illinois, United States","1,319 EUR / credit",1 year,
Data Analytics,M.Sc.,Johnson & Wales University,"Providence, Rhode Island, United States","1,927 EUR / module",1½ years,
Data Science,M.Sc.,Colorado School of Mines,"Golden, Colorado, United States","30,530 EUR / year",1 year,
Analytics,M.Sc.,Georgia Institute of Technology,"Atlanta, Georgia, United States","1,381 EUR / credit",1 year,
Data Science and Analytics,Full-time,University of Maryland,"College Park, Maryland, United States","6,212 EUR / year",1 year,
Data Science,Full-time,University of Pennsylvania,"Philadelphia, Pennsylvania, United States","5,975 EUR / module",1½ years,
Data Analytics,M.Sc.,Rowan University,"Glassboro, New Jersey, United States",584 EUR / credit,1 year,
Data Analysis and Visualization,M.Sc.,The City University of New York,"New York City, New York, United States",699 EUR / credit,1 year,
"Information Technology - Cybersecurity, Data Analytics",M.Sc.,California Lutheran University,"California, Maryland, United States",699 EUR / credit,1 year,
Data Science and Strategic Analytics,M.Sc.,Stockton University,"Ocean Acres, New Jersey, United States",913 EUR / credit,2 years,
Applied Data Analytics,M.Sc.,Boston University,"Boston, Massachusetts, United States","46,473 EUR / year",1 year,
Computer Science: Data Science,M.Sc.,The University of Tennessee at Chattanooga,"Chattanooga, Tennessee, United States","14,273 EUR / year",1 year,
Analytics,M.Sc.,Wittenberg University,"Springfield, Tennessee, United States","33,211 EUR / year",1 year,
Data Science,Full-time,University of Kentucky,"Lexington-Fayette, Kentucky, United States","26,618 EUR / year",1 year,
Data Science,M.Sc.,Indiana University Bloomington,"Bloomington, Indiana, United States","25,047 EUR / year",2 years,
Data Science,Full-time,University of Michigan,"Ann Arbor, Michigan, United States","40,501 EUR / year",1 year,
Urban Spatial Analytics,M.Sc.,University of Pennsylvania,"Philadelphia, Pennsylvania, United States","43,703 EUR / year",1 year,
Data Analytics,M.Sc.,Pennsylvania State University,"University Park, Pennsylvania, United States","32,467 EUR / year",1 year,
Data Science and Analytics,M.Sc.,University of Missouri - Columbia,"Columbia, Missouri, United States","19,873 EUR / year",1 year,
Data Science and Analytics,M.Sc.,Georgia State University,"Atlanta, Georgia, United States","24,699 EUR / year",1 year,
Data Science,Full-time,Indiana University Bloomington,"Bloomington, Indiana, United States","25,047 EUR / year",1 year,
Biomedical Data Science and Modeling,M.Sc.,Illinois Institute of Technology,"Chicago, Illinois, United States","1,319 EUR / credit",1 year,
Data Science,M.Sc.,Fairfield University,"Fairfield, Connecticut, United States",695 EUR / credit,1 year,
Applied Data Science and International Studies,M.Sc.,Claremont Graduate University (CGU),"Claremont, California, United States","1,618 EUR / credit",1½ years,
Big Data Analytics,M.Sc.,San Diego State University,"San Diego, California, United States","7,482 EUR / year",2 years,
Analytics,M.Sc.,University of Southern California,"Los Angeles, California, United States","1,797 EUR / credit",1½ years,
Computer Science - Data Science,M.Sc.,University of Southern California,"Los Angeles, California, United States","1,797 EUR / credit",2 years,
Statistics and Data Science,M.A.,Yale University,"New Haven, Connecticut, United States","35,393 EUR / year",2 years,
Data Science,M.Sc.,Worcester Polytechnic Institute,"Worcester, Massachusetts, United States","23,688 EUR / year",1 year,
Data Science,Pre-Master,American University Washington DC,"Washington, D. C., Washington, D.C., United States","23,962 EUR / year",1 year,
Data Analytics Engineering,M.Sc.,George Mason University,"Fairfax, Virginia, United States","1,154 EUR / credit",1 year,
Interdisciplinary Data Science,M.Sc.,Duke University,"Durham, North Carolina, United States","47,328 EUR / year",2 years,
Data Analytics,M.Sc.,Catholic University of America,"Washington, D. C., Washington, D.C., United States","41,083 EUR / year",1 year,
Business and Science Degree in Analytics - Discovery Informatics and Data Sciences,Full-time,Rutgers University,"Camden, New Jersey, United States","1,027 EUR / credit",1 year,
Analytics,M.Sc.,Dakota State University,"Madison, Alabama, United States",504 EUR / credit,2 years,
Data Science,M.Sc.,Florida International University,"West Miami, Florida, United States","14,738 EUR / year",1 year,
Business Management Large Scale Data Analysis Track,M.Sc.,The City University of New York,"New York City, New York, United States",699 EUR / credit,1 year,
Spatial Economics and Data Analysis,M.Sc.,University of Southern California,"Los Angeles, California, United States","48,439 EUR / year",2 years,
Statistics and Data Science,M.Sc.,The University of Texas at San Antonio,"Helotes, Texas, United States","13,134 EUR / year",1 year,
Spatial Data Science,M.Sc.,University of Southern California,"Los Angeles, California, United States","1,797 EUR / credit",1 year,
Data Science,M.Sc.,New York University,"New York City, New York, United States","28,367 EUR / year",2 years,
Data Analytics,M.Sc.,Alliant International University,"Poway, California, United States",593 EUR / credit,2 years,
Big Data Analytics and Management (Thesis),Full-time,BAU,"Washington, D. C., Washington, D.C., United States","4,904 EUR / year",2 years,
Data Science,M.Sc.,University of Denver,"Denver, Colorado, United States","18,650 EUR / year",1 year,
Business Analytics,M.Sc.,University of Dallas,"Dallas, Texas, United States","1,022 EUR / credit",1 year,
Data Analytics,M.Sc.,The City University of New York,"New York City, New York, United States",699 EUR / credit,1 year,
Business Analytics,M.Sc.,University of Southern California,"Los Angeles, California, United States","48,439 EUR / year",1½ years,
Business Analytics,M.Sc.,Bentley University,"Waltham, Massachusetts, United States","37,695 EUR / year",1 year,
Data Science,M.Sc.,Texas Tech University,"Lubbock, Texas, United States","14,329 EUR / year",1 year,
Data Science and Analytics,M.Sc.,Claremont Graduate University (CGU),"Claremont, California, United States","1,618 EUR / credit",1 year,
Data Science,M.Sc.,University of San Francisco,"San Francisco, California, United States","1,210 EUR / credit",1 year,
Data Mining,M.Sc.,Central Connecticut State University,"New Britain, Connecticut, United States","21,311 EUR / year",1 year,
Communication Data Science,M.Sc.,University of Southern California,"Los Angeles, California, United States","1,797 EUR / credit",1 year,
Data Science,M.Sc.,New Jersey Institute of Technology,"Newark, New Jersey, United States","24,963 EUR / year",1 year,
Data Analytics,M.Sc.,University of Illinois Springfield,"Springfield, Illinois, United States","17,832 EUR / year",1 year,
Data Analytics,M.Sc.,Clarkson University,"Potsdam, New York, United States","1,313 EUR / credit",1 year,
Data Analytics,Full-time,Utah State University,"Logan, Ohio, United States","12,544 EUR / year",1 year,
