title,url,school,degree,pace,duration,languages,based,price
Master of Project Management (MPM),https://www.masterstudies.com/Master-of-Project-Management-(MPM)/USA/DeVry/,DeVry University,Master,Full-time,3Semesters,English,Campus Online,
MBA in Information Networking and Security,https://www.onlinestudies.com/MBA-in-Information-Networking-and-Security/USA/PHU/,Pebble Hills University,MSc,Part-time,1-2Years,English,Online,
Master of Science Degree in Computer and Information Sciences,https://www.masterstudies.com/Master-of-Science-Degree-in-Computer-and-Information-Sciences/USA/Knowledge-Systems-Institute/,Knowledge Systems Institute,MSc,Full-time,,English,Online & Campus Combined,
Master (MSc) in Engineering,https://www.masterstudies.com/Master-(MSc)-in-Engineering/USA/Marshall-University-College-of-Information-Technology-and-Engineering/,Marshall University - College of Information Technology and Engineering,Master,Full-time,,English,Campus,
Master of Science in Computer Science,https://www.masterstudies.com/Master-of-Science-in-Computer-Science/USA/Charleston-Southern-University/,Charleston Southern University,MSc,Full-time                                                     Part-time,2Years,English,Online & Campus Combined,
Master of Architecture,https://www.masterstudies.com/Master-of-Architecture/USA/Drury-University/,Drury University,Master,Full-time,,English,Campus,
Biotechnology Master's Program,https://www.masterstudies.com/Biotechnology-Masters-Program/USA/EVMS/,Eastern Virginia Medical School,Master,Full-time,4Semesters,English,Campus,
Medical and Health Professions Education Master's (Online Program),https://www.onlinestudies.com/Medical-and-Health-Professions-Education-Masters-(Online-Program)/USA/EVMS/,Eastern Virginia Medical School,Master,Full-time,5Semesters,English,Online,
Master of Arts in Transpersonal Psychology (on-campus),https://www.masterstudies.com/Master-of-Arts-in-Transpersonal-Psychology-(on-campus)/USA/Sofia-University/,Sofia University,MA,Full-time,2Years,English,Campus,
Master of Arts in Counseling Psychology,https://www.masterstudies.com/Master-of-Arts-in-Counseling-Psychology/USA/Sofia-University/,Sofia University,MA,Full-time                                                     Part-time,2-4Years,English,Online & Campus Combined,
Dual Master of Accountancy/Master of Science in MIS,https://www.masterstudies.com/Dual-Master-of-AccountancyMaster-of-Science-in-MIS/USA/Michael-F.-Price-College-of-Business-University-of-Oklahoma/,"Michael F. Price College of Business, University of Oklahoma",Master,Full-time,,English,Campus,
Master of Science in Management,https://www.masterstudies.com/Master-of-Science-in-Management/USA/CoxBusiness/,"Cox School of Business, Southern Methodist University",MSc,Full-time                                                     Part-time,10Months,,Campus,
Master of Management/Public Administration,https://www.masterstudies.com/Master-of-ManagementPublic-Administration/USA/University-of-Phoenix-Online/,University of Phoenix Online,Master,Part-time,2Years,,Online,
Master of Management,https://www.masterstudies.com/Master-of-Management/USA/University-of-Phoenix-Online/,University of Phoenix Online,Master,Full-time                                                     Part-time,2Years,,Online,
Master of Management/Human Resources Management,https://www.masterstudies.com/Master-of-ManagementHuman-Resources-Management/USA/University-of-Phoenix-Online/,University of Phoenix Online,Master,Full-time                                                     Part-time,2Years,,Online,
Master of Information Systems,https://www.masterstudies.com/Master-of-Information-Systems-UPO/USA/University-of-Phoenix-Online/,University of Phoenix Online,Master,Full-time                                                     Part-time,2Years,,Online,
Master of Information Systems/Management,https://www.masterstudies.com/Master-of-Information-SystemsManagement/USA/University-of-Phoenix-Online/,University of Phoenix Online,Master,Part-time,2Years,,Online,
Master of Arts in Organizational Management (MAOM),https://www.onlinestudies.com/Master-of-Arts-in-Organizational-Management-(MAOM)/USA/Ashford-University-Online/,Ashford University Online,MA,Part-time,2Years,,Online,
MS in Organization Leadership,https://www.onlinestudies.com/MS-in-Organization-Leadership/USA/Regis-University-The-College-for-Public-Leadership/,"Regis University, The College for Public Leadership",MSc,Full-time                                                     Part-time,,,Online,
Master of Science in Business Intelligence (MSBI),https://www.onlinestudies.com/Master-of-Science-in-Business-Intelligence-(MSBI)/USA/American-Sentinel-University/,American Sentinel University,MSc,Part-time,,,Online,
Master of Science in Information Systems,https://www.onlinestudies.com/Master-of-Science-in-Information-Systems/USA/American-Sentinel-University/,American Sentinel University,MSc,Part-time,,,Online,
Master of Science in Entrepreneurship,https://www.masterstudies.com/Master-of-Science-in-Entrepreneurship/USA/CoxBusiness/,"Cox School of Business, Southern Methodist University",MSc,Part-time,16Months,,Campus,
MAcc/MBA,https://www.mbastudies.com/MAccMBA/USA/Michael-F.-Price-College-of-Business-University-of-Oklahoma/,"Michael F. Price College of Business, University of Oklahoma",Master,Full-time,,English,Campus,
The Master of Arts in Management (MAM),https://www.masterstudies.com/The-Master-of-Arts-in-Management-(MAM)/USA/Peter-F.-Drucker-and-Masatoshi-Ito-Graduate-School-of-Management-Claremont-Graduate-University/,"Peter F. Drucker and Masatoshi Ito Graduate School of Management, Claremont Graduate University",MA,Full-time                                                     Part-time,,,Campus,
"MSc in Criminal Justice, Justice Administration Concentration",https://www.masterstudies.com/MSc-in-Criminal-Justice-Justice-Administration-Concentration/USA/TiffinU/,Tiffin University,MSc,Part-time,3Semesters,,Campus Online,
Entrepreneur Program,https://www.masterstudies.com/Entrepreneur-Program/USA/University-of-Wisconsin-Eau-Claire-College-of-Business/,University of Wisconsin Eau Claire College of Business,Master,Full-time                                                     Part-time,3Semesters,,Campus,
Master in Health Care Administration,https://www.masterstudies.com/Master-in-Health-Care-Administration/USA/University-of-Wisconsin-Eau-Claire-College-of-Business/,University of Wisconsin Eau Claire College of Business,Master,Full-time,,English,Campus,
M.A. in Management,https://www.masterstudies.com/M.A.-in-Management/USA/Regent-University-School-of-Global-Leadership-and-Entrepreneurship/,Regent University School of Global Leadership & Entrepreneurship,MA,Full-time,,,Campus,
Master of Science in Information Technology Management,https://www.onlinestudies.com/Master-of-Science-in-Information-Technology-Management/USA/TUI-University-College-of-Business-Administration/,TUI University - College of Business Administration,MSc,Full-time                                                     Part-time,15Months,,Online,
Master of Management Information Systems (MMIS),https://www.masterstudies.com/Master-of-Management-Information-Systems-(MMIS)/USA/Georgia-College-and-State-University-J.-Whitney-Bunting-School-of-Business/,Georgia College & State University-- J. Whitney Bunting School of Business,Master,Full-time,2Years,,Campus,
Master of Accountancy,https://www.masterstudies.com/Master-of-Accountancy/USA/Georgia-College-and-State-University-J.-Whitney-Bunting-School-of-Business/,Georgia College & State University-- J. Whitney Bunting School of Business,Master,Full-time,2Years,,Campus,
Web Master of Business Administration,https://www.masterstudies.com/Web-Master-of-Business-Administration/USA/Georgia-College-and-State-University-J.-Whitney-Bunting-School-of-Business/,Georgia College & State University-- J. Whitney Bunting School of Business,Master,Part-time,,,Online,
Master of Business Administration,https://www.masterstudies.com/Master-of-Business-Administration/USA/Providence-College-School-of-Business/,"Providence College, School of Business",Master,Full-time                                                     Part-time,,,Campus,
Master of Science in Information Systems,https://www.masterstudies.com/Master-of-Science-in-Information-Systems/USA/DeSales-University/,DeSales University,MSc,Full-time                                                     Part-time,,,Campus,
MS in Accounting,https://www.masterstudies.com/MS-in-Accounting/USA/Kean/,Kean University,MSc,Full-time                                                     Part-time,,English,Campus,
MA in Counseling: School Counseling,https://www.masterstudies.com/MA-in-Counseling-School-Counseling/USA/Kean/,Kean University,MA,Full-time                                                     Part-time,,,Campus,
MA in Political Science,https://www.masterstudies.com/MA-in-Political-Science-KU/USA/Kean/,Kean University,MA,Full-time                                                     Part-time,,,Campus,
MS in Biotechnology Science,https://www.masterstudies.com/MS-in-Biotechnology-Science/USA/Kean/,Kean University,MSc,Full-time                                                     Part-time,,,Campus,
