title,url,school,degree,pace,duration,languages,based,price
Master of Engineering in Logistics and Supply Chain Management (ZLOGb),https://www.masterstudies.com/Master-of-Engineering-in-Logistics-and-Supply-Chain-Management-(ZLOGb)/Spain/ZLC/,Zaragoza Logistics Center,Master,Full-time,5Months,English,Online & Campus Combined,
MS in Information Systems,https://www.masterstudies.com/MS-in-Information-Systems/USA/Robert-H.-Smith-School-of-Business/,University of Maryland College Park,MSc,Full-time,9-16Months,English,Campus,
Master of Arts in Asian Studies,https://www.masterstudies.com/Master-of-Arts-in-Asian-Studies/USA/The-George-Washington-University-Elliott-School-Of-International-Affairs/,The George Washington University - Elliott School Of International Affairs,MA,Full-time,2Years,English,Campus,
Master of Science in Athletic Training,https://www.masterstudies.com/Master-of-Science-in-Athletic-Training/USA/Kings-College-Pennsylvania-USA/,"King's College - Pennsylvania, USA",MSc,Full-time,2Years,English,Campus,
MS Analytics,https://www.masterstudies.com/MS-Analytics/USA/Kogod-School-of-Business-American-University/,"Kogod School of Business, American University",MSc,Full-time                                                     Part-time,1-3Years,English,Campus Online,
MA School Counseling,https://www.masterstudies.com/MA-School-Counseling/USA/USF-Education/,University of San Francisco - School of Education,Master,Full-time,,English,Campus,
MS in Supply Chain Management,https://www.masterstudies.com/MS-in-Supply-Chain-Management/USA/Robert-H.-Smith-School-of-Business/,University of Maryland College Park,MSc,Full-time,10-16Months,English,Campus,
MS in Accounting,https://www.masterstudies.com/MS-in-Accounting/USA/Robert-H.-Smith-School-of-Business/,University of Maryland College Park,MSc,Full-time                                                     Part-time,10-16Months,English,Campus,
Master of Finance,https://www.masterstudies.com/Master-of-Finance/USA/Robert-H.-Smith-School-of-Business/,University of Maryland College Park,Master,Full-time,9-20Months,English,Campus,
MS in Marketing Analytics,https://www.masterstudies.com/MS-in-Marketing-Analytics/USA/Robert-H.-Smith-School-of-Business/,University of Maryland College Park,MSc,Full-time,10-16Months,English,Campus,
Master of Arts in European and Eurasian Studies,https://www.masterstudies.com/Master-of-Arts-in-European-and-Eurasian-Studies/USA/The-George-Washington-University-Elliott-School-Of-International-Affairs/,The George Washington University - Elliott School Of International Affairs,MA,Full-time,2Years,English,Campus,
Master of Arts in Global Communication,https://www.masterstudies.com/Master-of-Arts-in-Global-Communication/USA/The-George-Washington-University-Elliott-School-Of-International-Affairs/,The George Washington University - Elliott School Of International Affairs,MA,Full-time,2Years,English,Campus,
Master of Arts in International Affairs,https://www.masterstudies.com/Master-of-Arts-in-International-Affairs/USA/The-George-Washington-University-Elliott-School-Of-International-Affairs/,The George Washington University - Elliott School Of International Affairs,MA,Full-time,2Years,English,Campus,
Master of Arts in International Development Studies,https://www.masterstudies.com/Master-of-Arts-in-International-Development-Studies/USA/The-George-Washington-University-Elliott-School-Of-International-Affairs/,The George Washington University - Elliott School Of International Affairs,MA,Full-time,2Years,English,Campus,
Master of Arts in International Economic Policy,https://www.masterstudies.com/Master-of-Arts-in-International-Economic-Policy/USA/The-George-Washington-University-Elliott-School-Of-International-Affairs/,The George Washington University - Elliott School Of International Affairs,MA,Full-time,2Years,English,Campus,
Master of Arts in International Science and Technology Policy,https://www.masterstudies.com/Master-of-Arts-in-International-Science-and-Technology-Policy/USA/The-George-Washington-University-Elliott-School-Of-International-Affairs/,The George Washington University - Elliott School Of International Affairs,MA,Full-time,2Years,English,Campus,
Master of Arts in Latin American and Hemispheric Studies,https://www.masterstudies.com/Master-of-Arts-in-Latin-American-and-Hemispheric-Studies/USA/The-George-Washington-University-Elliott-School-Of-International-Affairs/,The George Washington University - Elliott School Of International Affairs,MA,Full-time,2Years,English,Campus,
Master of Arts in Middle East Studies,https://www.masterstudies.com/Master-of-Arts-in-Middle-East-Studies/USA/The-George-Washington-University-Elliott-School-Of-International-Affairs/,The George Washington University - Elliott School Of International Affairs,MA,Full-time,2Years,English,Campus,
Master of Arts in Security Policy Studies,https://www.masterstudies.com/Master-of-Arts-in-Security-Policy-Studies/USA/The-George-Washington-University-Elliott-School-Of-International-Affairs/,The George Washington University - Elliott School Of International Affairs,MA,Full-time,2Years,English,Campus,
Master of International Policy and Practice,https://www.masterstudies.com/Master-of-International-Policy-and-Practice/USA/The-George-Washington-University-Elliott-School-Of-International-Affairs/,The George Washington University - Elliott School Of International Affairs,Master,Full-time                                                     Part-time,1-2Years,English,Campus Online,
MS Finance,https://www.masterstudies.com/MS-Finance/USA/Kogod-School-of-Business-American-University/,"Kogod School of Business, American University",MSc,Full-time                                                     Part-time,1-3Years,English,Campus,
MS Accounting,https://www.masterstudies.com/MS-Accounting/USA/Kogod-School-of-Business-American-University/,"Kogod School of Business, American University",MSc,Full-time                                                     Part-time,1-2Years,English,Campus,
MS Marketing,https://www.masterstudies.com/MS-Marketing/USA/Kogod-School-of-Business-American-University/,"Kogod School of Business, American University",MSc,Full-time,1Years,English,Campus,
MS Real Estate,https://www.masterstudies.com/MS-Real-Estate/USA/Kogod-School-of-Business-American-University/,"Kogod School of Business, American University",MSc,Full-time                                                     Part-time,1-3Years,English,Campus,
MS Sustainability Management,https://www.masterstudies.com/MS-Sustainability-Management/USA/Kogod-School-of-Business-American-University/,"Kogod School of Business, American University",MSc,Full-time                                                     Part-time,1-3Years,English,Campus,
MS Taxation,https://www.masterstudies.com/MS-Taxation/USA/Kogod-School-of-Business-American-University/,"Kogod School of Business, American University",MSc,Full-time                                                     Part-time,1-3Years,English,Campus,
Master in Catholic Education Leadership,https://www.masterstudies.com/Master-in-Catholic-Education-Leadership/USA/USF-Education/,University of San Francisco - School of Education,MA,Part-time,,English,Campus,
Master in Educational Technology,https://www.masterstudies.com/Master-in-Educational-Technology/USA/USF-Education/,University of San Francisco - School of Education,MA,Full-time,,English,Campus Online,
Master in Higher Education and Student Affairs,https://www.masterstudies.com/Master-in-Higher-Education-and-Student-Affairs/USA/USF-Education/,University of San Francisco - School of Education,Master,Full-time,2Years,English,Campus,
Master in Human Rights Education,https://www.masterstudies.com/Master-in-Human-Rights-Education/USA/USF-Education/,University of San Francisco - School of Education,MA,Full-time,2Years,English,Campus,
Master of Arts in International Science and Technology Policy,https://www.masterstudies.com/Master-of-Arts-in-International-Science-and-Technology-Policy/USA/The-George-Washington-University-Elliott-School-Of-International-Affairs/,The George Washington University - Elliott School Of International Affairs,MA,Full-time,2Years,English,Campus,
Master of Arts in Latin American and Hemispheric Studies,https://www.masterstudies.com/Master-of-Arts-in-Latin-American-and-Hemispheric-Studies/USA/The-George-Washington-University-Elliott-School-Of-International-Affairs/,The George Washington University - Elliott School Of International Affairs,MA,Full-time,2Years,English,Campus,
Master of Arts in Middle East Studies,https://www.masterstudies.com/Master-of-Arts-in-Middle-East-Studies/USA/The-George-Washington-University-Elliott-School-Of-International-Affairs/,The George Washington University - Elliott School Of International Affairs,MA,Full-time,2Years,English,Campus,
Master of Arts in Security Policy Studies,https://www.masterstudies.com/Master-of-Arts-in-Security-Policy-Studies/USA/The-George-Washington-University-Elliott-School-Of-International-Affairs/,The George Washington University - Elliott School Of International Affairs,MA,Full-time,2Years,English,Campus,
Master of International Policy and Practice,https://www.masterstudies.com/Master-of-International-Policy-and-Practice/USA/The-George-Washington-University-Elliott-School-Of-International-Affairs/,The George Washington University - Elliott School Of International Affairs,Master,Full-time                                                     Part-time,1-2Years,English,Campus Online,
MS Finance,https://www.masterstudies.com/MS-Finance/USA/Kogod-School-of-Business-American-University/,"Kogod School of Business, American University",MSc,Full-time                                                     Part-time,1-3Years,English,Campus,
MS Accounting,https://www.masterstudies.com/MS-Accounting/USA/Kogod-School-of-Business-American-University/,"Kogod School of Business, American University",MSc,Full-time                                                     Part-time,1-2Years,English,Campus,
MS Marketing,https://www.masterstudies.com/MS-Marketing/USA/Kogod-School-of-Business-American-University/,"Kogod School of Business, American University",MSc,Full-time,1Years,English,Campus,
MS Real Estate,https://www.masterstudies.com/MS-Real-Estate/USA/Kogod-School-of-Business-American-University/,"Kogod School of Business, American University",MSc,Full-time                                                     Part-time,1-3Years,English,Campus,
MS Sustainability Management,https://www.masterstudies.com/MS-Sustainability-Management/USA/Kogod-School-of-Business-American-University/,"Kogod School of Business, American University",MSc,Full-time                                                     Part-time,1-3Years,English,Campus,
MS Taxation,https://www.masterstudies.com/MS-Taxation/USA/Kogod-School-of-Business-American-University/,"Kogod School of Business, American University",MSc,Full-time                                                     Part-time,1-3Years,English,Campus,
Master in Catholic Education Leadership,https://www.masterstudies.com/Master-in-Catholic-Education-Leadership/USA/USF-Education/,University of San Francisco - School of Education,MA,Part-time,,English,Campus,
Master in Educational Technology,https://www.masterstudies.com/Master-in-Educational-Technology/USA/USF-Education/,University of San Francisco - School of Education,MA,Full-time,,English,Campus Online,
Master in Higher Education and Student Affairs,https://www.masterstudies.com/Master-in-Higher-Education-and-Student-Affairs/USA/USF-Education/,University of San Francisco - School of Education,Master,Full-time,2Years,English,Campus,
Master in Human Rights Education,https://www.masterstudies.com/Master-in-Human-Rights-Education/USA/USF-Education/,University of San Francisco - School of Education,MA,Full-time,2Years,English,Campus,
Master of Arts in International Science and Technology Policy,https://www.masterstudies.com/Master-of-Arts-in-International-Science-and-Technology-Policy/USA/The-George-Washington-University-Elliott-School-Of-International-Affairs/,The George Washington University - Elliott School Of International Affairs,MA,Full-time,2Years,English,Campus,
Master of Arts in Latin American and Hemispheric Studies,https://www.masterstudies.com/Master-of-Arts-in-Latin-American-and-Hemispheric-Studies/USA/The-George-Washington-University-Elliott-School-Of-International-Affairs/,The George Washington University - Elliott School Of International Affairs,MA,Full-time,2Years,English,Campus,
Master of Arts in Middle East Studies,https://www.masterstudies.com/Master-of-Arts-in-Middle-East-Studies/USA/The-George-Washington-University-Elliott-School-Of-International-Affairs/,The George Washington University - Elliott School Of International Affairs,MA,Full-time,2Years,English,Campus,
Master of Arts in Security Policy Studies,https://www.masterstudies.com/Master-of-Arts-in-Security-Policy-Studies/USA/The-George-Washington-University-Elliott-School-Of-International-Affairs/,The George Washington University - Elliott School Of International Affairs,MA,Full-time,2Years,English,Campus,
Master of International Policy and Practice,https://www.masterstudies.com/Master-of-International-Policy-and-Practice/USA/The-George-Washington-University-Elliott-School-Of-International-Affairs/,The George Washington University - Elliott School Of International Affairs,Master,Full-time                                                     Part-time,1-2Years,English,Campus Online,
MS Finance,https://www.masterstudies.com/MS-Finance/USA/Kogod-School-of-Business-American-University/,"Kogod School of Business, American University",MSc,Full-time                                                     Part-time,1-3Years,English,Campus,
MS Accounting,https://www.masterstudies.com/MS-Accounting/USA/Kogod-School-of-Business-American-University/,"Kogod School of Business, American University",MSc,Full-time                                                     Part-time,1-2Years,English,Campus,
MS Marketing,https://www.masterstudies.com/MS-Marketing/USA/Kogod-School-of-Business-American-University/,"Kogod School of Business, American University",MSc,Full-time,1Years,English,Campus,
MS Real Estate,https://www.masterstudies.com/MS-Real-Estate/USA/Kogod-School-of-Business-American-University/,"Kogod School of Business, American University",MSc,Full-time                                                     Part-time,1-3Years,English,Campus,
MS Sustainability Management,https://www.masterstudies.com/MS-Sustainability-Management/USA/Kogod-School-of-Business-American-University/,"Kogod School of Business, American University",MSc,Full-time                                                     Part-time,1-3Years,English,Campus,
MS Taxation,https://www.masterstudies.com/MS-Taxation/USA/Kogod-School-of-Business-American-University/,"Kogod School of Business, American University",MSc,Full-time                                                     Part-time,1-3Years,English,Campus,
Master in Catholic Education Leadership,https://www.masterstudies.com/Master-in-Catholic-Education-Leadership/USA/USF-Education/,University of San Francisco - School of Education,MA,Part-time,,English,Campus,
Master in Educational Technology,https://www.masterstudies.com/Master-in-Educational-Technology/USA/USF-Education/,University of San Francisco - School of Education,MA,Full-time,,English,Campus Online,
Master in Higher Education and Student Affairs,https://www.masterstudies.com/Master-in-Higher-Education-and-Student-Affairs/USA/USF-Education/,University of San Francisco - School of Education,Master,Full-time,2Years,English,Campus,
Master in Human Rights Education,https://www.masterstudies.com/Master-in-Human-Rights-Education/USA/USF-Education/,University of San Francisco - School of Education,MA,Full-time,2Years,English,Campus,
Master of Arts in International Science and Technology Policy,https://www.masterstudies.com/Master-of-Arts-in-International-Science-and-Technology-Policy/USA/The-George-Washington-University-Elliott-School-Of-International-Affairs/,The George Washington University - Elliott School Of International Affairs,MA,Full-time,2Years,English,Campus,
Master of Arts in Latin American and Hemispheric Studies,https://www.masterstudies.com/Master-of-Arts-in-Latin-American-and-Hemispheric-Studies/USA/The-George-Washington-University-Elliott-School-Of-International-Affairs/,The George Washington University - Elliott School Of International Affairs,MA,Full-time,2Years,English,Campus,
Master of Arts in Middle East Studies,https://www.masterstudies.com/Master-of-Arts-in-Middle-East-Studies/USA/The-George-Washington-University-Elliott-School-Of-International-Affairs/,The George Washington University - Elliott School Of International Affairs,MA,Full-time,2Years,English,Campus,
Master of Arts in Security Policy Studies,https://www.masterstudies.com/Master-of-Arts-in-Security-Policy-Studies/USA/The-George-Washington-University-Elliott-School-Of-International-Affairs/,The George Washington University - Elliott School Of International Affairs,MA,Full-time,2Years,English,Campus,
Master of International Policy and Practice,https://www.masterstudies.com/Master-of-International-Policy-and-Practice/USA/The-George-Washington-University-Elliott-School-Of-International-Affairs/,The George Washington University - Elliott School Of International Affairs,Master,Full-time                                                     Part-time,1-2Years,English,Campus Online,
MS Finance,https://www.masterstudies.com/MS-Finance/USA/Kogod-School-of-Business-American-University/,"Kogod School of Business, American University",MSc,Full-time                                                     Part-time,1-3Years,English,Campus,
MS Accounting,https://www.masterstudies.com/MS-Accounting/USA/Kogod-School-of-Business-American-University/,"Kogod School of Business, American University",MSc,Full-time                                                     Part-time,1-2Years,English,Campus,
MS Marketing,https://www.masterstudies.com/MS-Marketing/USA/Kogod-School-of-Business-American-University/,"Kogod School of Business, American University",MSc,Full-time,1Years,English,Campus,
MS Real Estate,https://www.masterstudies.com/MS-Real-Estate/USA/Kogod-School-of-Business-American-University/,"Kogod School of Business, American University",MSc,Full-time                                                     Part-time,1-3Years,English,Campus,
MS Sustainability Management,https://www.masterstudies.com/MS-Sustainability-Management/USA/Kogod-School-of-Business-American-University/,"Kogod School of Business, American University",MSc,Full-time                                                     Part-time,1-3Years,English,Campus,
MS Taxation,https://www.masterstudies.com/MS-Taxation/USA/Kogod-School-of-Business-American-University/,"Kogod School of Business, American University",MSc,Full-time                                                     Part-time,1-3Years,English,Campus,
Master in Catholic Education Leadership,https://www.masterstudies.com/Master-in-Catholic-Education-Leadership/USA/USF-Education/,University of San Francisco - School of Education,MA,Part-time,,English,Campus,
Master in Educational Technology,https://www.masterstudies.com/Master-in-Educational-Technology/USA/USF-Education/,University of San Francisco - School of Education,MA,Full-time,,English,Campus Online,
Master in Higher Education and Student Affairs,https://www.masterstudies.com/Master-in-Higher-Education-and-Student-Affairs/USA/USF-Education/,University of San Francisco - School of Education,Master,Full-time,2Years,English,Campus,
Master in Human Rights Education,https://www.masterstudies.com/Master-in-Human-Rights-Education/USA/USF-Education/,University of San Francisco - School of Education,MA,Full-time,2Years,English,Campus,
Master of Science in Electrical Engineering (M.S.),https://www.masterstudies.com/Master-of-Science-in-Electrical-Engineering-(M.S.)/USA/GW-SEAS/,The George Washington University - School of Engineering & Applied Science,MSc,Full-time                                                     Part-time,2-3Years,English,Campus,
Master of Science in Engineering Management (M.S.),https://www.masterstudies.com/Master-of-Science-in-Engineering-Management-(M.S.)/USA/GW-SEAS/,The George Washington University - School of Engineering & Applied Science,MSc,Full-time                                                     Part-time,2-3Years,English,Campus,
Master of Science in Mechanical and Aerospace Engineering (M.S.),https://www.masterstudies.com/Master-of-Science-in-Mechanical-and-Aerospace-Engineering-(M.S.)/USA/GW-SEAS/,The George Washington University - School of Engineering & Applied Science,MSc,Full-time                                                     Part-time,2-3Years,English,Campus,
MSCS - Cloud Security Architect specialization,https://www.onlinestudies.com/MSCS-Cloud-Security-Architect-specialization/USA/EC-Council-University/,EC-Council University,MSc,Full-time                                                     Part-time,2Years,English,Online,
MSCS - Digital Forensic specialization,https://www.onlinestudies.com/MSCS-Digital-Forensic-specialization/USA/EC-Council-University/,EC-Council University,MSc,Full-time                                                     Part-time,2Years,English,Online,
MSCS - Executive Leadership in Information Assurance specialization,https://www.onlinestudies.com/MSCS-Executive-Leadership-in-Information-Assurance-specialization/USA/EC-Council-University/,EC-Council University,MSc,Full-time                                                     Part-time,2Years,English,Online,
MSCS - Incident Management and Business Continuity specialization,https://www.onlinestudies.com/MSCS-Incident-Management-and-Business-Continuity-specialization/USA/EC-Council-University/,EC-Council University,MSc,Full-time                                                     Part-time,2Years,English,Online,
MSCS - Security Analyst specialization,https://www.onlinestudies.com/MSCS-Security-Analyst-specialization/USA/EC-Council-University/,EC-Council University,MSc,Full-time                                                     Part-time,2Years,English,Online,
Master of Science in Biotechnology,https://www.masterstudies.com/Master-of-Science-in-Biotechnology/USA/Georgetown-University-Department-of-Biochemistry-and-Molecular-and-Cellular-Biology/,Georgetown University Department of Biochemistry and Molecular & Cellular Biology,Master,Full-time                                                     Part-time,10Months,English,Campus,
MSc in Bioengineering,https://www.masterstudies.com/MSc-in-Bioengineering/USA/Tufts-University-School-of-Engineering/,Tufts University - School of Engineering,MSc,Full-time                                                     Part-time,1-2Years,English,Campus,
MSc in Chemical and Biological Engineering,https://www.masterstudies.com/MSc-in-Chemical-and-Biological-Engineering/USA/Tufts-University-School-of-Engineering/,Tufts University - School of Engineering,MSc,Full-time                                                     Part-time,1-2Years,English,Campus,
MSc in Civil and Environmental Engineering,https://www.masterstudies.com/MSc-in-Civil-and-Environmental-Engineering/USA/Tufts-University-School-of-Engineering/,Tufts University - School of Engineering,MSc,Full-time                                                     Part-time,1-2Years,English,Campus,
MSc in Computer Engineering,https://www.masterstudies.com/MSc-in-Computer-Engineering/USA/Tufts-University-School-of-Engineering/,Tufts University - School of Engineering,MSc,Full-time                                                     Part-time,1-2Years,English,Campus,
MSc in Computer Science,https://www.masterstudies.com/MSc-in-Computer-Science/USA/Tufts-University-School-of-Engineering/,Tufts University - School of Engineering,MSc,Full-time                                                     Part-time,1-2Years,English,Campus Online,
MSc in Cybersecurity and Public Policy,https://www.masterstudies.com//MSc-in-Cybersecurity-and-Public-Policy/USA/Tufts-University-School-of-Engineering/,Tufts University - School of Engineering,MSc,Full-time                                                     Part-time,1-2Years,English,Campus,
Masters in International Business,https://www.masterstudies.com/Masters-in-International-Business/United-Kingdom/Hult/,Hult International Business School,Master,Full-time,11Months,English,Campus,
Masters in International Marketing,https://www.masterstudies.com/Masters-in-International-Marketing/United-Kingdom/Hult/,Hult International Business School,Master,Full-time,11Months,English,Campus,
Masters in Finance,https://www.masterstudies.com/Masters-in-Finance/USA/Hult/,Hult International Business School,Master,Full-time,11Months,English,Campus,
MSc in Organizational Psychology,https://www.masterstudies.com/MSc-in-Organizational-Psychology/USA/UNICAFUNIVERSITYMW/,Unicaf University (MW),MSc,Full-time                                                     Part-time,18-24Months,English,Campus Online,
Master's Degree in Global Entrepreneurial Management,https://www.masterstudies.com/Masters-Degree-in-Global-Entrepreneurial-Management/Spain/IQS/,IQS – Universitat Ramon Llull,Master,Full-time,1Years,English,Campus,
Master in Applied Artificial Intelligence,https://www.masterstudies.com//Master-in-Applied-Artificial-Intelligence/USA/Stevens-Institute-of-Technology-Graduate-Studies/,Stevens Institute of Technology - Graduate Studies,Master,Full-time                                                     Part-time,2Years,English,Campus Online,
Master in Business Intelligence & Analytics,https://www.masterstudies.com/Master-in-Business-Intelligence-and-Analytics/USA/Stevens-Institute-of-Technology-Graduate-Studies/,Stevens Institute of Technology - Graduate Studies,Master,Full-time                                                     Part-time,2Years,,Campus Online,
Master in Construction Engineering and Management,https://www.masterstudies.com//Master-in-Construction-Engineering-and-Management/USA/Stevens-Institute-of-Technology-Graduate-Studies/,Stevens Institute of Technology - Graduate Studies,Master,Full-time                                                     Part-time,2Years,English,Campus Online,
Master in Cybersecurity,https://www.masterstudies.com/Master-in-Cybersecurity/USA/Stevens-Institute-of-Technology-Graduate-Studies/,Stevens Institute of Technology - Graduate Studies,Master,Full-time                                                     Part-time,2Years,English,Campus,
Master in Data Science,https://www.masterstudies.com/Master-in-Data-Science/USA/Stevens-Institute-of-Technology-Graduate-Studies/,Stevens Institute of Technology - Graduate Studies,Master,Full-time                                                     Part-time,2Years,English,Campus,
Master in Electrical & Computer Engineering,https://www.masterstudies.com/Master-in-Electrical-and-Computer-Engineering/USA/Stevens-Institute-of-Technology-Graduate-Studies/,Stevens Institute of Technology - Graduate Studies,Master,Full-time                                                     Part-time,2Years,English,Campus Online,
Master in Machine Learning,https://www.masterstudies.com/Master-in-Machine-Learning/USA/Stevens-Institute-of-Technology-Graduate-Studies/,Stevens Institute of Technology - Graduate Studies,Master,Full-time                                                     Part-time,2Years,English,Campus Online,
Master in Mechanical Engineering,https://www.masterstudies.com/Master-in-Mechanical-Engineering/USA/Stevens-Institute-of-Technology-Graduate-Studies/,Stevens Institute of Technology - Graduate Studies,Master,Full-time                                                     Part-time,2Years,English,Campus,
Master of Engineering in Systems Engineering,https://www.masterstudies.com/Master-of-Engineering-in-Systems-Engineering/USA/Stevens-Institute-of-Technology-Graduate-Studies/,Stevens Institute of Technology - Graduate Studies,Master,Full-time                                                     Part-time,2Years,English,Campus Online,
MSc in Software Engineering,https://www.masterstudies.com/MSc-in-Software-Engineering/USA/Stevens-Institute-of-Technology-Graduate-Studies/,Stevens Institute of Technology - Graduate Studies,MSc,Full-time                                                     Part-time,2Years,English,Campus Online,
Master of Fine Arts in Interior Architecture,https://www.masterstudies.com/Master-of-Fine-Arts-in-Interior-Architecture/USA/GWU-CCAS/,The George Washington University - Columbian College of Arts & Sciences,Master,Full-time,2Years,English,Campus,
MA Applied Economics,https://www.masterstudies.com/MA-Applied-Economics/USA/GWU-CCAS/,The George Washington University - Columbian College of Arts & Sciences,MA,Full-time                                                     Part-time,3Semesters,English,Campus,
MA in Exhibition Design,https://www.masterstudies.com/MA-in-Exhibition-Design/USA/GWU-CCAS/,The George Washington University - Columbian College of Arts & Sciences,MA,Full-time                                                     Part-time,2Years,English,Campus,
MA in New Media Photojournalism,https://www.masterstudies.com/MA-in-New-Media-Photojournalism/USA/GWU-CCAS/,The George Washington University - Columbian College of Arts & Sciences,MA,Full-time                                                     Part-time,2Years,English,Campus,
MS in Geography,https://www.masterstudies.com/MS-in-Geography/USA/GWU-CCAS/,The George Washington University - Columbian College of Arts & Sciences,MSc,Full-time,3-4Semesters,English,Campus,
MS Chemistry,https://www.masterstudies.com/MS-Chemistry/USA/GWU-CCAS/,The George Washington University - Columbian College of Arts & Sciences,MSc,Full-time                                                     Part-time,3-4Semesters,English,Campus,
MS Data Science,https://www.masterstudies.com/MS-Data-Science/USA/GWU-CCAS/,The George Washington University - Columbian College of Arts & Sciences,MSc,Full-time,3Semesters,English,Campus,
MS in Environmental and Green Chemistry,https://www.masterstudies.com/MS-in-Environmental-and-Green-Chemistry/USA/GWU-CCAS/,The George Washington University - Columbian College of Arts & Sciences,MSc,Full-time,3Semesters,English,Campus,
MS in Physics,https://www.masterstudies.com/MS-in-Physics/USA/GWU-CCAS/,The George Washington University - Columbian College of Arts & Sciences,MSc,Full-time,4Semesters,English,Campus,
MA in Political Science,https://www.masterstudies.com/MA-in-Political-Science/USA/GWU-CCAS/,The George Washington University - Columbian College of Arts & Sciences,MA,Full-time                                                     Part-time,3Semesters,English,Campus,
MS in Statistics,https://www.masterstudies.com/MS-in-Statistics/USA/GWU-CCAS/,The George Washington University - Columbian College of Arts & Sciences,MSc,Full-time                                                     Part-time,3Semesters,English,Campus,
MS in Information Systems,https://www.masterstudies.com/MS-in-Information-Systems/USA/University-of-Memphis/,University of Memphis,MSc,Full-time,2Years,English,Campus,
MS in Biological Sciences,https://www.masterstudies.com/MS-in-Biological-Sciences/USA/University-of-Memphis/,University of Memphis,MSc,Full-time,3Years,English,Campus,
MS in Computer Science,https://www.masterstudies.com/MS-in-Computer-Science/USA/University-of-Memphis/,University of Memphis,MSc,Full-time,2-3Years,English,Campus,
MS in Earth Sciences,https://www.masterstudies.com/MS-in-Earth-Sciences/USA/University-of-Memphis/,University of Memphis,MSc,Full-time,2-3Years,English,Campus,
MS in Engineering,https://www.masterstudies.com/MS-in-Engineering/USA/University-of-Memphis/,University of Memphis,MSc,Full-time,2-3Years,English,Campus,
MS in Mathematical Sciences,https://www.masterstudies.com/MS-in-Mathematical-Sciences/USA/University-of-Memphis/,University of Memphis,MSc,Full-time,2-3Years,English,Campus,
Ms in Physics and Materials Science,https://www.masterstudies.com/Ms-in-Physics-and-Materials-Science/USA/University-of-Memphis/,University of Memphis,MSc,Full-time,2-3Years,English,Campus,
Masters Degree in Data Science,https://www.masterstudies.com/Masters-Degree-in-Data-Science/USA/University-of-Memphis/,University of Memphis,Master,Full-time,2Years,English,Campus,
Master of Public Policy,https://www.masterstudies.com/Master-of-Public-Policy/USA/Pepperdine-University-School-of-Public-Policy/,Pepperdine University School of Public Policy,Master,Full-time,2Years,English,Online & Campus Combined,
M.A. in Couple and Family Counseling,https://www.masterstudies.com/M.A.-in-Couple-and-Family-Counseling/USA/NEIU/,Northeastern Illinois University,MA,Full-time                                                     Part-time,2-4Years,English,Campus,
M.A. in School Counseling,https://www.masterstudies.com/M.A.-in-School-Counseling/USA/NEIU/,Northeastern Illinois University,MA,Full-time                                                     Part-time,2-4Years,English,Campus,
"M.A. in Communication, Media & Theatre",https://www.masterstudies.com/M.A.-in-Communication-Media-and-Theatre/USA/NEIU/,Northeastern Illinois University,MA,Full-time                                                     Part-time,1-6Years,English,Campus,
M.A. in English,https://www.masterstudies.com/M.A.-in-English/USA/NEIU/,Northeastern Illinois University,MA,Full-time                                                     Part-time,1-4Years,English,Campus,
M.A. in Geography and Environmental Studies,https://www.masterstudies.com/M.A.-in-Geography-and-Environmental-Studies/USA/NEIU/,Northeastern Illinois University,MA,Part-time,3Years,English,Campus,
M.A. in Human Resource Development,https://www.masterstudies.com/M.A.-in-Human-Resource-Development/USA/NEIU/,Northeastern Illinois University,MA,Full-time,2Years,English,Campus,
M.A. in Linguistics,https://www.masterstudies.com/M.A.-in-Linguistics/USA/NEIU/,Northeastern Illinois University,MA,Full-time                                                     Part-time,1-4Years,English,Campus,
M.A. in Music,https://www.masterstudies.com/M.A.-in-Music/USA/NEIU/,Northeastern Illinois University,MA,Full-time                                                     Part-time,1-4Years,English,Campus,
M.A. in Political Science,https://www.masterstudies.com/M.A.-in-Political-Science/USA/NEIU/,Northeastern Illinois University,MA,Full-time                                                     Part-time,1-4Years,English,Campus,
M.A. in Teaching English to Speakers of Other Languages,https://www.masterstudies.com/M.A.-in-Teaching-English-to-Speakers-of-Other-Languages/USA/NEIU/,Northeastern Illinois University,MA,Full-time                                                     Part-time,1-4Years,English,Online & Campus Combined Campus,
M.S. in Accounting,https://www.masterstudies.com/M.S.-in-Accounting/USA/NEIU/,Northeastern Illinois University,MSc,Part-time,3Years,English,Campus,
M.S. in Biology,https://www.masterstudies.com/M.S.-in-Biology/USA/NEIU/,Northeastern Illinois University,MSc,Full-time                                                     Part-time,1-6Years,English,Campus,
M.S. in Chemistry,https://www.masterstudies.com/M.S.-in-Chemistry/USA/NEIU/,Northeastern Illinois University,MSc,Full-time                                                     Part-time,1-6Years,English,Campus,
M.S. in Computer Science,https://www.masterstudies.com/M.S.-in-Computer-Science/USA/NEIU/,Northeastern Illinois University,MSc,Full-time                                                     Part-time,1-6Years,English,Campus,
M.S. in Exercise and Sport Science,https://www.masterstudies.com/M.S.-in-Exercise-and-Sport-Science/USA/NEIU/,Northeastern Illinois University,MSc,Part-time,2Years,English,Campus,
M.S. in Mathematics,https://www.masterstudies.com/M.S.-in-Mathematics/USA/NEIU/,Northeastern Illinois University,MSc,Full-time                                                     Part-time,1-6Years,English,Campus,
